/* ITS A GIFT, WITh NO VALUE YOU CAN MEASURE,
*  FOR YOU AND ANYONE BESIDES YOU.
*  0xe328d8daa44b766f8a2e04e0479f6b316c0bf290
*/ 

"GENESIS L1 GIFT v1",
"0x2ae4f87745c3431005babffc94d5b0c5090b0365",384475
"0x689f7212b804796bcdd6cc710f76e3af5fb06992",368024
"0xf675f4e35d61d98d926abc3cb82f8de78939bc5d",338920
"0x981075725317956712242025ea77614dd1d9a2d6",269264
"0x3a210cc0379803ee8ca8c944ecf3b7f6c28ccd5e",248209
"0x0fb76ee359feab670d3f80d4acad8ad63250dcd7",229497
"0x539c82d5cb886c94dd3e2d76dd5c73936c1cf391",217912
"0x1062582a329a8134bd4837d03170174cd2951a99",199603
"0x8cd507593b56fd8c9e8d400641d82f344c9a4794",199321
"0xac922f3dc16cb0c8175a4abdf60f427a3543fa35",191085
"0x55dd9b279dd99a95d763f9f5558abd5c9e9096c2",190285
"0x1633337c380716e2572eb78a2a4668ba6258ae30",177945
"0xb947c1b143c6ab4cead7219d16b5f963aa89e942",170397
"0xa71877a3ee0a2df22187be358785b29b3d82b077",169040
"0x3598b2883a370be3fa9893cce920ab835eac5901",150260
"0x9503043b84b5a6f9d581a14db820762db40459da",144899
"0x159b94c520b6c7dceba1b5b93bdcd4e3b4888ad6",140628
"0x925e26da09dc91c27ca4f7dcc6b91549ac19672c",135741
"0x5c5d335c6ce4792a6dc7c8e00c20714691889a29",132488
"0x06f89fa4f293fa26f6e8179f182709c2df8aaf99",130965
"0x220a3b75f8ec07a930ca06893d0f76fc3b907b8f",120839
"0xd6e93c1fe5c45c82e39057e542920fb110492bca",120536
"0x9ee9679e57f084e8e127a6a0686fc680736197dc",120341
"0xce6c6381f82757084e3df632f2eda43140cb16e7",119712
"0xcbffa92c0f0b183d5f47bcfe97ad166914afbbfb",113822
"0xb44a883686cc947d9f39d44e12534c88cccc4b69",108690
"0x9c7b84be5d69bb41a718a4af921e44730a277f90",106279
"0x90ae898cadded329029658db553caa149e77ae89",105387
"0x98ecf96cb5fdb14aa581d61f801a79d5d5fd8bc8",101491
"0x059a2e14fdb1bc4f726af3c57ca9c45ffef33c40",100898
"0xc3c1100b5c403f4a281b7cccc12d8ed3d305ce77",100456
"0x6c1a147d2db054b48b1b5c33f179b889877ff9d0",99999
"0x965ef37cf5bdc377e0039b05f6fd179cb922d0b7",95021
"0xbfcc050ca65f5b061faf264ea9fc9f5659b694a3",94685
"0x20ef0b30580fe176d6171df59344cbc158ebf867",92467
"0x1a39c12a7e046fbc69311c4beb8b11535157e055",90870
"0x63ee50181a241b08a8bf3885ef8310841ab9a5cf",90870
"0x8b11149cab2d2dfa608aaeae4c6611fc5d0afc34",88263
"0x9821913fb8faaca8d6978c340e5beea8a343ce50",88242
"0x0044859451763d3143d5264f5562cb91dc51fe99",87709
"0x980069a966b7acec19edb9933a7b9398958617b9",84254
"0x3b6e25bbfedb698153d5ca96a9c3d4f8ffe39aa9",81803
"0xcada747f872012ec5bc80d26ac5a22db598de679",78239
"0xe56af43f2b3b742848bc527ac74c6e3f3a70d820",77210
"0x9c7669862ccec2f06e867a2eee25de03ed292ceb",73784
"0x9115ae8e9f1f368f05d7b18ad6a0fd0689198ad9",71653
"0x2e4d3f133a2867baaf6d394b7521a387398260c8",71425
"0xa03d1648be58e6957c81c1c201236e189b6ee6af",70968
"0x5253596d79785eec085712f9d1aae0f28db2db4b",70525
"0x079f7176799a63159e631ee52d55df92c5288888",69612
"0x3e240d46527039b5d7ffbb2acd988d73458e6b26",69577
"0x008f97fc562816b72fdec866835dff1b09584e3b",69507
"0xdd1dfb33ea386b6380ba6f47b06182130541934c",68844
"0x4c32ad04fefe4af332a1d3320d7c6f6b8cf4aec6",65890
"0x98c1e5f29d4f646ab864491cc58ea80d79d9e8ea",65426
"0x0219aafcb9ca380b8d04b12985c0b80c4782e780",64978
"0x07dd0a172095a6c046077dedea8637da5a39d90c",64550
"0x3e2ea55b4c5b4278a5eae3f895559fb74027453c",64436
"0x332900689c60e44e00ad00fb52e38054283aae3f",64252
"0xaa0533f6c7ca99162a205db275e13275fc7666fb",64223
"0xa86fe8453674604d0e6bec6d9d615bf1aa0cbc0d",63614
"0x9e9e1de26abb83e23228ad19bd2e285a59203737",63547
"0x0d1162a5def5b2ab4b97ab80ae8fdddee64dd0dd",63411
"0xe21349f8fc141dca3e97fcf20b26e4cf2f47d21b",63156
"0x25f6f0b7ed88d596333e5d402546afe0f92e01fb",62667
"0x95f4ceba41955a316b2dc3f47293e4c7787bbabd",62083
"0x4c967625bdcd34140aa2ef4157fd88044a7ce1c8",61996
"0x67b6c520e56f22a058b41c6023a31dea2bfe281b",61533
"0xe43deb71054daf3049166d36330217770737f2ef",60198
"0x268b6cad79f324247fbf93a2696a8fba33531ab5",59781
"0x32144219918e731adb3811b35d2d3901ee31e158",55871
"0x42f5a392acb1c0ead1ed2f67bb9c625c4d5cca71",54713
"0xb951da3870f7b7d1e3f9249c18e93d5cc5c3565c",54089
"0x85ccdcf580caf8a3674d94f3d6c63304674a8e09",51110
"0xe01cbf933e01bd9c162ba5d4f6bf593da542f3eb",51101
"0xa0ca23175e99c217750a372be6aa30f2052658ca",50533
"0x58024b6c1005de40eac2d4c06bc947ebf2a302af",50086
"0xeb0cd42592025f7443d1a76f095038cf07661ebb",48219
"0x7b0458696b9b1afbe7679349575214bd3cefe307",47257
"0xcbe7b755a6a5943cf64a8b02bbc4f7663067acb9",46969
"0x02500fc3935a62eaa818fcaae1c741a1e7867b86",46183
"0x301ee512f8007635b1ee517b58ea6c04ec97a255",44999
"0x6da6c423be3601f9187e5d544d9d85337f31e7c7",44754
"0x989ee5e90b5ba1ae5141f1afea81edce631f92ed",43101
"0x8c49c1d07579d778cae5a567e77e5ee242169917",42072
"0x2ea88d3ab922bdc989f8cec210385932b5517ca3",41709
"0x328ab0b9e234e0c36025ac237093528cd46e31b4",41277
"0x35eda3c7f4d2dba8c68f16fd8eb2f879c1d2ddfa",41093
"0x126815fb37c62f4827c09e4c454fb74922c361c3",40698
"0x755bca3ca08d34f6c8418ac8874cdd75ad18c5ff",40217
"0xa6b49397ce21bb62200e914f41bf371e5940bb41",40110
"0xa6d1e07698b947beebcf1c9023f09d88d94f32e5",39999
"0x2fd7a9cf9dbb4b757e0b0ec2771602c84ff4ec67",39905
"0xcd815b9302bc6a828294ce6aa7c353b206997a4e",39668
"0xa0ba9d15defb5e4667fd14d2a65be5b4b191948e",39115
"0xd9aab4ab5bd3853b14647a23f5b6a88e45a97d20",39075
"0x7ceafd11836738eca8da42a8153830a8d36e0473",37767
"0x5a297599c4bd1c3ef00b277f8a7369cb5b9bd157",37538
"0xc30986907f64c3de38f266ce9f8295a1869c7692",36333
"0x47d4f20ae83bcd350105f199f900e6e6104dab6a",35682
"0x26e3e4356165cee6fbae013df305de9a7beab5ce",34333
"0xec640f1dbe4c3e880c69c988ca5398028f770266",33432
"0x406cbfc2d391bed42078138165465128b4e0cb06",32946
"0x46dae97e4d62a92dd496736c99f625a335e4c5dd",32360
"0xb87f006b8c629a06ad60279ff7ccec5d5b5fa02a",32254
"0xfe8d8575de8a99f9a36a4428d9e01e42dbdc39ee",31079
"0xef667e3df662f7bf26a605ec401e1afb170d142f",30727
"0x3d61165c0f5a396b63745999349b1c06d5e6f225",30011
"0x76b25b1f545e9533382b79a26da649a1b6e28dde",29553
"0xbb030a0408edc41f3c61ba3f132c06e93eda68f4",29157
"0x8d477b1dfce5a34cbf4a3d05e28cd3c0a814c85f",28387
"0x29d09ea6cdd688cdd0b8decb0c234139f117fb9b",28267
"0xb6b9ac35e6201aecf28fc277bbb46a200ec9ab47",28261
"0xf718dc400ef3657c4b264e3cf407e38e968c5ada",28052
"0x858e74f968fbd5a77bb133b5618512977e08453e",27821
"0xa51fa51788de0bc5b534ab4cba23f0329ec5512c",27541
"0xe2d344bf99778588480975af0cee952b1e52f268",24956
"0x769b5a85e0f7268a8f78e508dc3cf0ff0675d897",24759
"0xfde25d8e5e1e3b03f4d0b1d5c793e3916fd85bc4",23896
"0xea09808a3a23367909701a6c5f3c03cb91425d8a",23826
"0x4e644712dd14a5f04167736aec3ee5575f547054",23748
"0x01fb51f8a664f0f2b7cf8f6eee89f7c1b7e05ba1",23096
"0xa0e15b0521fe0acf193338f5e6225f3a0ba16852",22860
"0x8f60ef64cf1ac10fcdf127eb17bbe317b125ef9f",22399
"0x1fdaf3d9e830182c06317985164519aabdccd1e5",22191
"0xc42380d5bff4817915924ea9c9a7b7ef4fe38fac",22136
"0x442712132199d7f80f61d52989f4eb9dda099ffb",22081
"0xb4feace8bb1bf6ba333b91dfce4abff42ee75b4f",21999
"0xd0f8772d334b59a9493fe3c5be92dfb06bd412a6",21921
"0x20b7d584b86644b80115c15d19996b40568614a8",21719
"0x84c09420e9b36f04a422b79f12c15200c4e6a5ab",21661
"0x08cfbd8466d06339ed762222e649ec72ff51f66b",21499
"0x836f231db96a2c60071f1023cf0327b6ec53a937",21248
"0x9d693d99b2401999ce7daf37c7c8b62af682211f",20983
"0xdbb184456618431d4190b253f9664e73bce56d27",20858
"0x6cac06f10b4b1004e25e9989c806ad05ddc79b74",20706
"0xd63d406180ea3b47f98422bf5fad902fe6ccfbec",20581
"0x1e5f584c14be9f2fea8045a93e16c2e0a5cf7a10",20445
"0x2bf49c1f4ee4f53b255d416f3fd3954c8d2f57e1",20379
"0x304a4b1cac6eb56768df2be30fc7094b99a4c4bc",19785
"0x25329d2393d01a4b85ad6a24884af4cb32bf84fb",19662
"0x13b3a50f3947476eda74fe191344524e2d2d28e5",19294
"0x70e892cd4b02bd71afbbf2acb8331d7dd81ffb0c",18498
"0x5d1c23b4e47cdb84b7653bc234bcfb9eebbea6cb",18251
"0xd9c9443b018edb2564ed38423d25e4f7d1421e77",18180
"0x44bc3ca866c2e0092f2e84aecdebadc64ef21212",18058
"0xda3debd133897ad1266f580c37244eaa9526e43a",17862
"0x4f4a4a3d55b0a484dd981d91bc792461f19b03da",17829
"0x9b180450971c559588c50a6403de5fcb15a57bbc",17499
"0xf7d27a880ca908f11b60149bd0ba993c94f41a9a",17493
"0x8b51c1ba09ee33e7649cac62ccb6d0f410f5647a",17470
"0x1c2c8637c74f04cd96a75f47ad157fce904d9155",17394
"0xc1ff2c574c1599259819cc0319560a5a70599d6b",16965
"0x6036c89f58888ca653b834b9918f0dce7bcf2236",16861
"0x126f7340644955e5156d90f0398566e51f25c3cb",16515
"0xf4fb2749b1883ba35b73f1f23b315cc006cde10c",16453
"0xd2d070dc9389506ec673938ef2a0c9a0f681d414",16359
"0x836e8ff06eca3666519dd7d54d4a5223db4714ae",16356
"0xa9f8b08247dfe13e56b08e229d54cf10c7c700e4",16229
"0x3328f5f2cecaf00a2443082b657cedeaf70bfaef",15986
"0xddd0d64b0d80f54940368eeffc7dc569d394ac55",15848
"0xdc055750c938ee4915ce8ae01957b956cda6abe8",15728
"0xfe93a4981d0a6cb62c94b037bc870c793efe9f4d",15708
"0xb2cf7c9bdbfd16085a21c95745808b9f9a8a7f2d",15477
"0xcd65ee8cc707c5ef3d90b5f52248546d4c6ffe1a",15447
"0xf6fb2a7f3f85aaf1bff9205465a051b537a7fd7c",15254
"0x6c2553747186d4f943df90061edd282e05e861a0",15026
"0xcdbe8a515abe014b57a0af0a989cbe5dd9820d8e",14999
"0x652475d0e2157b39903d7973ca6a14a8d5e501dc",14845
"0xc17fc5f56b1b48bf9381d97e3d68bee762189764",14575
"0xa309734d0fc1a3a65454d60c1142b644db9c809c",14390
"0xda93f8e08c439d7ffe77e0bce1ca6a8ab153d35b",14335
"0xb106b59359740d28f8e129bb9ef5df44703dd471",14205
"0xb9b6e853ce786c55cbf49a42e946af23ccd17438",14165
